 num     #instances         #bytes  class name (module)
 248:             1            376  java.util.TimerThread (java.base@17.0.2)
 249:             1            376  jdk.internal.misc.InnocuousThread (java.base@17.0.2)
 250:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@17.0.2)
 251:            23            368  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser (java.base@17.0.2)
 252:             1            368  sun.net.dns.ResolverConfigurationImpl$AddressChangeListener (java.base@17.0.2)
 253:            15            360  java.util.regex.Pattern$$Lambda$21/0x80000002a (java.base@17.0.2)
 254:             9            360  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@17.0.2)
 255:            22            352  io.vertx.core.impl.logging.LoggerAdapter
 256:            22            352  io.vertx.core.logging.Logger
 257:            22            352  io.vertx.core.logging.SLF4JLogDelegate
 258:            11            352  java.lang.constant.DirectMethodHandleDesc$Kind (java.base@17.0.2)
 259:            11            352  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@17.0.2)
 260:            19            336  [Lsun.reflect.generics.tree.TypeArgument; (java.base@17.0.2)
 261:             7            336  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@17.0.2)
 262:             6            336  java.nio.DirectLongBufferU (java.base@17.0.2)
 263:            14            336  java.util.regex.Pattern$BmpCharPredicate$$Lambda$22/0x80000002b (java.base@17.0.2)
 264:            10            320  java.lang.constant.DirectMethodHandleDescImpl (java.base@17.0.2)
 265:            10            320  java.lang.invoke.VarForm (java.base@17.0.2)
 266:             5            320  sun.security.provider.SHA2$SHA256 (java.base@17.0.2)
 267:            13            312  io.vertx.micrometer.Label
 268:            19            304  java.util.jar.Attributes (java.base@17.0.2)
 269:            19            304  sun.reflect.generics.tree.ClassTypeSignature (java.base@17.0.2)
 270:             1            288  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@17.0.2)
 271:             9            288  java.lang.constant.PrimitiveClassDescImpl (java.base@17.0.2)
 272:             9            288  java.lang.ref.WeakReference (java.base@17.0.2)
 273:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@17.0.2)
 274:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@17.0.2)
 275:             7            280  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@17.0.2)
 276:             7            280  java.lang.WeakPairMap$Pair$Weak (java.base@17.0.2)
 277:             7            280  java.util.EnumMap (java.base@17.0.2)
 278:             7            280  java.util.IdentityHashMap (java.base@17.0.2)
 279:             5            280  sun.util.calendar.ZoneInfo (java.base@17.0.2)
 280:             2            264  [Ljava.time.LocalDateTime; (java.base@17.0.2)
 281:            11            264  java.lang.NamedPackage (java.base@17.0.2)
 282:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@17.0.2)
 283:            11            264  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@17.0.2)
 284:             5            256  [Ljava.util.Hashtable$Entry; (java.base@17.0.2)
 285:             2            256  io.netty.util.internal.InternalThreadLocalMap
 286:             8            256  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@17.0.2)
 287:             4            256  java.security.SecureRandom (java.base@17.0.2)
 288:             8            256  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl (java.base@17.0.2)
 289:             8            256  sun.reflect.generics.repository.ClassRepository (java.base@17.0.2)
 290:             5            240  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@17.0.2)
 291:             6            240  java.io.FilePermission (java.base@17.0.2)
 292:            10            240  java.lang.constant.MethodTypeDescImpl (java.base@17.0.2)
 293:            10            240  java.net.NetPermission (java.base@17.0.2)
 294:             5            240  java.net.URLPermission (java.base@17.0.2)
 295:            10            240  java.nio.charset.CoderResult (java.base@17.0.2)
 296:            10            240  java.nio.file.StandardOpenOption (java.base@17.0.2)
 297:             5            240  java.util.Hashtable (java.base@17.0.2)
 298:             6            240  java.util.stream.StreamOpFlag (java.base@17.0.2)
 299:            13            224  [Ljava.lang.constant.ConstantDesc; (java.base@17.0.2)
 300:             7            224  java.lang.WeakPairMap$Pair$Weak$1 (java.base@17.0.2)
 301:             7            224  java.net.Inet6Address$Inet6AddressHolder (java.base@17.0.2)
 302:             4            224  java.net.SocketPermission (java.base@17.0.2)
 303:             4            224  java.nio.HeapByteBuffer (java.base@17.0.2)
 304:             7            224  java.util.Hashtable$Entry (java.base@17.0.2)
 305:             4            224  java.util.Properties (java.base@17.0.2)
 306:             7            224  java.util.regex.Pattern$Branch (java.base@17.0.2)
 307:             7            224  sun.util.locale.BaseLocale$Key (java.base@17.0.2)
 308:             8            216  [Ljava.security.ProtectionDomain; (java.base@17.0.2)
 309:             9            216  io.netty.handler.codec.http.HttpMethod$EnumNameMap$Node
 310:             9            216  io.vertx.ext.web.impl.RouteState$Priority
 311:             3            216  java.util.concurrent.ThreadPoolExecutor (java.base@17.0.2)
 312:             9            216  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@17.0.2)
 313:             9            216  sun.reflect.annotation.AnnotationInvocationHandler (java.base@17.0.2)
 314:            13            208  java.lang.ThreadLocal (java.base@17.0.2)
 315:             5            200  sun.util.resources.Bundles$BundleReference (java.base@17.0.2)
 316:             6            192  io.netty.buffer.EmptyByteBuf
 317:             4            192  io.vertx.core.impl.VertxImpl$$Lambda$45/0x0000000800c86738
 318:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@17.0.2)
 319:             8            192  java.math.RoundingMode (java.base@17.0.2)
 320:             3            192  java.nio.DirectByteBufferR (java.base@17.0.2)
 321:             6            192  java.time.format.TextStyle (java.base@17.0.2)
 322:             6            192  java.util.Collections$UnmodifiableMap (java.base@17.0.2)
 323:             4            192  java.util.concurrent.LinkedBlockingQueue (java.base@17.0.2)
 324:             8            192  sun.reflect.generics.tree.ClassSignature (java.base@17.0.2)
 325:             4            192  sun.security.provider.MoreDrbgParameters (java.base@17.0.2)
 326:             3            184  [Lio.vertx.micrometer.Label;
 327:             1            184  io.vertx.core.http.HttpServerOptions
 328:            11            176  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@17.0.2)
 329:             7            168  [Ljava.util.regex.Pattern$Node; (java.base@17.0.2)
 330:             1            168  [[Ljava.math.BigInteger; (java.base@17.0.2)
 331:             7            168  ch.qos.logback.classic.Level
 332:             1            168  io.vertx.core.impl.VertxImpl
 333:             1            168  io.vertx.micrometer.MetricsNaming
 334:             7            168  java.net.Inet6Address (java.base@17.0.2)
 335:             7            168  java.time.ZoneOffset (java.base@17.0.2)
 336:             7            168  java.util.Arrays$ArrayList (java.base@17.0.2)
 337:             7            168  java.util.regex.Pattern$Start (java.base@17.0.2)
 338:             7            168  sun.reflect.generics.factory.CoreReflectionFactory (java.base@17.0.2)
 339:             7            168  sun.reflect.generics.scope.ClassScope (java.base@17.0.2)
 340:             2            160  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17.0.2)
 341:             2            160  [Ljava.lang.constant.DirectMethodHandleDesc$Kind; (java.base@17.0.2)
 342:             2            160  [Ljava.time.ZoneOffset; (java.base@17.0.2)
 343:             8            160  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@17.0.2)
 344:             4            160  ch.qos.logback.core.status.InfoStatus
 345:             5            160  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.2)
 346:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@17.0.2)
 347:             4            160  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@17.0.2)
 348:             5            160  java.net.HostPortrange (java.base@17.0.2)
 349:             5            160  java.security.MessageDigest$Delegate$CloneableDelegate (java.base@17.0.2)
 350:            10            160  java.util.Formatter$Flags (java.base@17.0.2)
 351:             5            160  java.util.RegularEnumSet (java.base@17.0.2)
 352:             5            160  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl (java.base@17.0.2)
 353:             5            160  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@17.0.2)
 354:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@17.0.2)
 355:             5            160  sun.util.resources.Bundles$CacheKey (java.base@17.0.2)
 356:             2            152  [[Ljava.lang.String; (java.base@17.0.2)
 357:             3            144  [F (java.base@17.0.2)
 358:             3            144  [Lio.netty.util.internal.PriorityQueueNode;
 359:             1            144  [Lio.vertx.core.http.HttpMethod;
 360:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@17.0.2)
 361:             2            144  [Ljava.math.BigDecimal; (java.base@17.0.2)
 362:             3            144  io.vertx.ext.web.impl.ParsableMIMEValue
 363:             6            144  java.lang.Class$AnnotationData (java.base@17.0.2)
 364:             3            144  java.lang.ThreadGroup (java.base@17.0.2)
 365:             6            144  java.net.InterfaceAddress (java.base@17.0.2)
 366:             3            144  java.time.temporal.JulianFields$Field (java.base@17.0.2)
 367:             6            144  java.util.Base64$Encoder (java.base@17.0.2)
 368:             3            144  java.util.TreeMap (java.base@17.0.2)
 369:             6            144  jdk.internal.perf.PerfCounter (java.base@17.0.2)
 370:             6            144  jdk.net.ExtendedSocketOptions$ExtSocketOption (jdk.net@17.0.2)
 371:             3            144  sun.nio.cs.UTF_8$Encoder (java.base@17.0.2)
 372:             1            144  sun.security.pkcs11.SunPKCS11 (jdk.crypto.cryptoki@17.0.2)
 373:             2            136  [Lio.netty.util.concurrent.EventExecutor;
 374:             1            136  [Ljava.time.temporal.ChronoField; (java.base@17.0.2)
