 num     #instances         #bytes  class name (module)
 274:            36            576  sun.reflect.generics.tree.ClassTypeSignature (java.base@17.0.2)
 275:             9            576  sun.security.mscapi.SunMSCAPI$ProviderServiceA (jdk.crypto.mscapi@17.0.2)
 276:            14            560  java.util.IdentityHashMap (java.base@17.0.2)
 277:             7            560  java.util.concurrent.TimeUnit (java.base@17.0.2)
 278:            10            560  sun.invoke.util.Wrapper (java.base@17.0.2)
 279:             5            560  sun.security.provider.HashDrbg (java.base@17.0.2)
 280:            14            560  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.2)
 281:            23            552  io.vertx.ext.web.impl.RouteImpl
 282:            23            552  java.security.SecurityPermission (java.base@17.0.2)
 283:            23            552  java.util.zip.ZipFile$ZipEntryIterator (java.base@17.0.2)
 284:            19            544  [Ljava.io.ObjectStreamField; (java.base@17.0.2)
 285:            17            544  java.util.LinkedHashMap$LinkedValueIterator (java.base@17.0.2)
 286:             1            528  [Ljava.lang.Character; (java.base@17.0.2)
 287:            33            528  [Ljava.security.Principal; (java.base@17.0.2)
 288:             1            528  [Ljava.util.TimerTask; (java.base@17.0.2)
 289:            33            528  java.security.ProtectionDomain$Key (java.base@17.0.2)
 290:             8            512  com.sun.security.sasl.Provider$ProviderService (java.security.sasl@17.0.2)
 291:            16            512  java.time.temporal.ChronoUnit (java.base@17.0.2)
 292:            21            504  java.lang.PublicMethods$Key (java.base@17.0.2)
 293:            21            504  java.lang.invoke.Invokers (java.base@17.0.2)
 294:            21            504  java.security.BasicPermissionCollection (java.base@17.0.2)
 295:            21            504  java.util.AbstractMap$SimpleImmutableEntry (java.base@17.0.2)
 296:            21            504  java.util.regex.Pattern$Slice (java.base@17.0.2)
 297:             7            496  [Lsun.invoke.util.Wrapper; (java.base@17.0.2)
 298:            31            496  io.netty.handler.codec.http.HttpMethod
 299:            31            496  io.vertx.core.http.HttpMethod
 300:            31            496  java.util.regex.Pattern$$Lambda$19/0x800000025 (java.base@17.0.2)
 301:            12            480  java.lang.OutOfMemoryError (java.base@17.0.2)
 302:            15            480  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.2)
 303:            20            480  java.lang.invoke.InnerClassLambdaMetafactory$1 (java.base@17.0.2)
 304:            10            480  java.lang.invoke.LambdaFormEditor$Transform (java.base@17.0.2)
 305:            20            480  java.lang.invoke.LambdaFormEditor$TransformKey (java.base@17.0.2)
 306:            29            464  java.util.regex.Pattern$CharPredicate$$Lambda$23/0x80000002d (java.base@17.0.2)
 307:            19            456  java.time.Duration (java.base@17.0.2)
 308:            19            456  java.util.jar.Manifest (java.base@17.0.2)
 309:            19            456  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@17.0.2)
 310:             4            448  [Lio.netty.buffer.PoolArena;
 311:            16            448  [Ljava.util.Formatter$Flags; (java.base@17.0.2)
 312:            11            440  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17.0.2)
 313:             3            432  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@17.0.2)
 314:             1            432  [[[C (java.base@17.0.2)
 315:            18            432  java.net.Inet4Address (java.base@17.0.2)
 316:            27            432  java.security.spec.ECFieldFp (java.base@17.0.2)
 317:            18            432  java.util.regex.Pattern$TreeInfo (java.base@17.0.2)
 318:            13            416  java.lang.ref.WeakReference (java.base@17.0.2)
 319:            13            416  sun.security.jca.ProviderConfig (java.base@17.0.2)
 320:            17            408  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@17.0.2)
 321:            17            408  sun.reflect.generics.parser.SignatureParser (java.base@17.0.2)
 322:            17            408  sun.reflect.generics.visitor.Reifier (java.base@17.0.2)
 323:            12            400  [Ljava.lang.constant.ClassDesc; (java.base@17.0.2)
 324:            25            400  io.netty.channel.nio.NioEventLoop$1
 325:            10            400  java.lang.invoke.DirectMethodHandle$Interface (java.base@17.0.2)
 326:            10            400  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@17.0.2)
 327:            25            400  java.util.concurrent.CountDownLatch (java.base@17.0.2)
 328:            12            392  [Ljava.security.ProtectionDomain; (java.base@17.0.2)
 329:             3            384  io.netty.util.internal.InternalThreadLocalMap
 330:            16            384  java.util.regex.Pattern$StartS (java.base@17.0.2)
 331:             1            376  com.intellij.rt.execution.application.AppMainV2$1
 332:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@17.0.2)
 333:             1            376  java.util.TimerThread (java.base@17.0.2)
 334:             1            376  jdk.internal.misc.InnocuousThread (java.base@17.0.2)
 335:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@17.0.2)
 336:            23            368  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser (java.base@17.0.2)
 337:            23            368  java.util.TreeSet (java.base@17.0.2)
 338:             1            368  sun.net.dns.ResolverConfigurationImpl$AddressChangeListener (java.base@17.0.2)
 339:             9            360  java.lang.WeakPairMap$Pair$Weak (java.base@17.0.2)
 340:            15            360  java.util.regex.Pattern$$Lambda$21/0x80000002a (java.base@17.0.2)
 341:             9            360  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@17.0.2)
 342:            22            352  io.vertx.core.impl.logging.LoggerAdapter
 343:            22            352  io.vertx.core.logging.Logger
 344:            22            352  io.vertx.core.logging.SLF4JLogDelegate
 345:            11            352  java.lang.constant.DirectMethodHandleDesc$Kind (java.base@17.0.2)
 346:            22            352  java.util.TreeMap$KeySet (java.base@17.0.2)
 347:            11            352  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@17.0.2)
 348:             7            336  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@17.0.2)
 349:             6            336  java.nio.DirectLongBufferU (java.base@17.0.2)
 350:            14            336  java.util.regex.Pattern$BmpCharPredicate$$Lambda$22/0x80000002b (java.base@17.0.2)
 351:            10            320  java.lang.constant.DirectMethodHandleDescImpl (java.base@17.0.2)
 352:            20            320  java.lang.invoke.LambdaFormEditor (java.base@17.0.2)
 353:            10            320  java.lang.invoke.VarForm (java.base@17.0.2)
 354:             8            320  java.lang.reflect.ProxyGenerator$ProxyMethod (java.base@17.0.2)
 355:             8            320  java.util.Formatter$FormatSpecifier (java.base@17.0.2)
 356:             8            320  java.util.HashMap$ValueIterator (java.base@17.0.2)
 357:             5            320  sun.security.provider.SHA2$SHA256 (java.base@17.0.2)
 358:            13            312  io.vertx.micrometer.Label
 359:             3            304  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17.0.2)
 360:            19            304  java.util.jar.Attributes (java.base@17.0.2)
 361:             1            288  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@17.0.2)
 362:             9            288  java.lang.WeakPairMap$Pair$Weak$1 (java.base@17.0.2)
 363:             9            288  java.lang.constant.PrimitiveClassDescImpl (java.base@17.0.2)
 364:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@17.0.2)
 365:            18            288  java.util.Formatter$Flags (java.base@17.0.2)
 366:            12            288  sun.reflect.annotation.AnnotationInvocationHandler (java.base@17.0.2)
 367:            12            288  sun.reflect.annotation.AnnotationParser$1 (java.base@17.0.2)
 368:             7            280  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@17.0.2)
 369:             7            280  java.util.EnumMap (java.base@17.0.2)
 370:             5            280  sun.util.calendar.ZoneInfo (java.base@17.0.2)
 371:             2            264  [Ljava.time.LocalDateTime; (java.base@17.0.2)
 372:            11            264  java.lang.NamedPackage (java.base@17.0.2)
 373:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@17.0.2)
